,Item,Count
5,Universal Pictures,1147
16,Universal International Pictures,219
20,Universal Film Manufacturing Company,172
55,Universal Television,74
309,Universal Cartoon Studios,16
905,Universal Animation Studios,6
1587,Universal Studios Home Entertainment Family Productions,4
1761,The Universal Film Mfg. Co.,3
1856,Universal Home Entertainment,3
2151,Universal Pictures Home Entertainment,3
2169,Universal Music Group,3
2390,Universal City Studios,3
2593,Universal Majestic Inc.,2
2636,WR Universal Group,2
2795,Universal Home Entertainment Productions,2
2801,Universal Pictures International,2
3323,Universal Studios Home Video,2
5155,Universal Pictures Corporation,1
5481,Universal Pay Television,1
5492,Universal Marion Corporation (UMC),1
6570,Universal Television Entertainment,1
7200,Universal Press Syndicate,1
7214,Universal Studios Home Entertainment,1
8225,Universal Home Video,1
8393,MCA/Universal Home Video,1
9293,Universal 1440 Entertainment,1
10092,Universal Jewel,1
11694,Universal Family and Home Entertainment,1
12342,Universal Studios Entertainment,1
119,Lucasfilm Ltd.,38
3757,Lucasfilm Animation,2
2,Paramount,1449
142,Paramount Vantage,31
159,Paramount Television Studios,27
201,Paramount Famous Lasky Corporation,22
945,Paramount Famous Productions,6
1977,Paramount Home Entertainment,3
5438,Paramount Pictures Canada,1
11875,Paramount-Artcraft Pictures,1
12121,Paramount Television,1
0,Warner Bros. Pictures,1669
11,Warner Bros. Cartoons,296
56,Warner Bros. Animation,74
81,Warner Bros. Television,53
164,Warner Premiere,26
225,Warner Bros-Seven Arts,20
395,Warner Independent Pictures,13
505,Warner Bros. Family Entertainment,11
534,Warner Bros. Entertainment,10
1424,Warner Bros. Entertainment España,4
1885,Warner Bros. First National,3
2093,Warner Home Video,3
2272,Franklyn Warner Productions,3
3216,Warner Brothers Studios,2
3398,Warner Music Group,2
4060,Warner Bros. Entertainment France,2
4962,Warner Music UK,1
5132,WarnerVision Films,1
6059,Warner Music Vision,1
6060,Warner Music Entertainment,1
6061,Warner Music Video,1
6063,Warner Music,1
6314,Warner China Film HG Corporation,1
7727,Warner Vision Entertainment,1
7858,Jack M. Warner Productions,1
7922,Warner Bros. Japan,1
7940,Time Warner Cable,1
8129,Warner Reprise video,1
8130,Warner Bros. Records,1
11009,Warner Classic Animation,1
9,Walt Disney Productions,302
13,Walt Disney Pictures,246
84,Disney Television Animation,51
109,Disney Branded Television,40
143,Walt Disney Feature Animation,30
174,DisneyToon Studios,26
468,Walt Disney Animation Studios,11
596,Walt Disney Studio,9
995,Disneynature,6
1363,Walt Disney Studios Home Entertainment,4
1650,Disney World Cinema,4
2036,Walt Disney Studios,3
2343,Walt Disney Animation,3
2641,The Walt Disney Company France,2
2841,Walt Disney Animation Japan,2
3417,Walt Disney Imagineering,2
4811,The Walt Disney Company (Japan),1
10030,Disney Educational Productions,1
10835,The Walt Disney Company,1
4,20th Century Fox,1149
88,20th Century Fox Television,50
305,20th Century Fox Home Entertainment,16
345,20th Century Pictures,15
391,20th Century Fox Animation,13
5056,20th Century Fox Brazil,1
3,Columbia Pictures,1240
155,Columbia Pictures Television,28
605,Columbia TriStar Television,9
1048,Columbia TriStar Home Entertainment,6
3530,Columbia Pictures Film Production Asia,2
3776,Columbia British Productions,2
4332,British Columbia Film,1
4384,Columbia TriStar,1
5774,Columbia Music Video,1
6053,Gaumont Columbia Tristar Films,1
7962,Columbia-Delphi Productions,1
8432,Columbia Pictures Industries,1
10900,Columbia TriStar International Television,1
11443,Columbia Records,1
18,TriStar Pictures,184
605,Columbia TriStar Television,9
1044,TriStar Television,6
1048,Columbia TriStar Home Entertainment,6
4384,Columbia TriStar,1
6053,Gaumont Columbia Tristar Films,1
10900,Columbia TriStar International Television,1
11395,TriStar Pictures Productions,1
1,Metro-Goldwyn-Mayer,1593
272,Metro-Goldwyn Pictures Corporation,18
1484,Metro-Goldwyn-Mayer Animation,4
3735,Metro-Goldwyn-Mayer British Studios,2
34,Lionsgate,108
1270,Lionsgate Television,5
9341,Lionsgate Premiere,1
39,Summit Entertainment,91
58,Amblin Entertainment,72
33,DreamWorks Pictures,109
92,DreamWorks Animation,47
8224,DreamWorks Home Entertainment,1
502,Gaumont,11
5692,Gaumont-British Picture Corporation,1
6053,Gaumont Columbia Tristar Films,1
153,Pathé Exchange,28
443,Pathé,12
754,RKO Pathé Pictures,8
1190,Pathé Entertainment,5
1568,Astral Bellevue Pathé,4
1757,Pathé Renn Productions,3
1888,Pathé Pictures International,3
2273,Pathé Frères,3
3382,MGM-Pathé Communications,2
8467,Pathé-America Distributing Company,1
9548,Pathé Consortium Cinéma,1
9686,Pathé Films,1
10761,British Pathé,1
12091,Pathé Productions,1
51,StudioCanal,76
11188,Nordisk Film & TV Fond,1
175,Constantin Film,26
48,Castle Rock Entertainment,78
19,Monogram Pictures,173
63,Allied Artists Pictures,65
842,Allied Artists,7
12,New Line Cinema,261
30,Relativity Media,113
29,Orion Pictures,123
90,Revolution Studios,48
287,AVCO Embassy Pictures,17
78,The Weinstein Company,56
8011,Weinstein Brothers Productions,1
8,Republic Pictures,323
270,Republic Pictures (II),18
4448,Republic Pictures International,1
6901,"Republic Studio Organization, The",1
8344,Republic Entertainment,1
9091,Republic Pictures Corp. (I),1
10983,Republic Entertainment International,1
1708,FilmDistrict,4
42,Focus Features,86
43,PolyGram Filmed Entertainment,85
3610,Polygram Pictures,2
4637,PolyGram Video,1
5755,Polygram Entertainment,1
9724,PolyGram Broadway Ventures,1
116,Artisan Entertainment,38
383,Overture Films,14
39,Summit Entertainment,91
28,Cannon Group,125
17,Miramax,205
2580,Miramax Animation,2
1084,Weintraub Entertainment Group,6
75,CBS,58
221,CBS Entertainment Productions,21
655,CBS Films,9
988,CBS Studios,6
1010,CBS Productions,6
1355,CBS Theatrical Films,4
3055,CBS Music Video (CMV) Enterprises,2
3863,CBS Television Network,2
5809,CBS Drama,1
7893,CBS News Productions,1
10392,Alchemy Films,1
12337,Alchemy Filmworks,1
579,Cinerama Productions Corp.,10
1099,Cinerama Releasing Corporation,6
518,National General Pictures,11
2324,National General Production Inc.,3
1700,Commonwealth United Entertainment,4
60,American Broadcasting Company (ABC),71
122,ABC Circle Films,37
440,ABC Pictures,12
762,ABC Family Worldwide,8
954,ABC Productions,6
1324,Nomura Babcock & Brown,5
1716,ABC Studios,4
2277,ABC Motion Pictures,3
2365,ABC Entertainment,3
2487,Capital Cities/ABC Video Enterprises Inc.,2
3195,ABC Television,2
4614,ABC Pictures International,1
9555,ABC News,1
54,New World Pictures,75
213,Turner Network Television,21
350,Turner Pictures (I),14
515,Turner Entertainment,11
576,Turner Pictures,10
3902,Turner Broadcasting System,2
4036,Turner Classic Movies,2
5353,Turner Studios,1
8289,Turner Pictures Worldwide,1
8365,Turner Feature Animation,1
9320,Helfgott-Turner Productions,1
245,Marvel Studios,19
484,Marvel Enterprises,11
1016,Marvel Productions,6
1326,Marvel Entertainment,5
1944,Marvel Animation,3
6359,Marvel Knights,1
105,Pixar,41
49,Samuel Goldwyn Productions,77
177,Samuel Goldwyn Company,25
250,Samuel Goldwyn Films,19
